Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price CAD,Extended Price CAD,
1,3,CSS2H-3920R-1L00FCT-ND,RES SMD 0.001 OHM 1% 8W 3920,,3,0,2.61000,7.83,
2,5,ES1A-FDICT-ND,DIODE GEN PURP 50V 1A SMA,,5,0,0.73000,3.65,
3,20,587-1352-1-ND,CAP CER 10UF 35V Y5V 1206,,20,0,0.24500,4.90,
4,2,P14933-ND,CAP ALUM 2000UF 20% 35V RADIAL,,2,0,4.89000,9.78,
5,10,516-1440-1-ND,LED RED DIFFUSED 1206 SMD,,10,0,0.58200,5.82,
6,10,67-1002-1-ND,LED GREEN DIFFUSED 1206 SMD,,10,0,0.46600,4.66,
7,10,516-1442-1-ND,LED YELLOW DIFFUSED 1206 SMD,,10,0,0.58200,5.82,
8,20,311-1963-1-ND,CAP CER 1UF 50V X7R 1206,,20,0,0.22500,4.50,
9,20,311-1179-1-ND,CAP CER 0.1UF 50V X7R 1206,,20,0,0.12900,2.58,
10,10,IRFU7440PBF-ND,MOSFET N CH 40V 90A I-PAK,,10,0,2.66900,26.69,
11,3,LM358NGOS-ND,IC OPAMP GP 1MHZ 8DIP,,3,0,0.66000,1.98,
12,3,IR2101PBF-ND,IC DRIVER HIGH/LOW SIDE 8DIP,,3,0,3.30000,9.90,
13,2,497-1443-5-ND,IC REG LDO 5V 1.5A TO220AB,,2,0,0.69000,1.38,
